2019-02-11 01:17:39.353172
        [5.588, 11.432, 0.5167, 0.01, 0.001, 0.001, 100],
        [5.589, 11.432, 0.5096, 0.01, 0.001, 0.001, 100],
        [5.590, 11.432, 0.5024, 0.01, 0.001, 0.001, 100],
        [5.591, 11.432, 0.4953, 0.01, 0.001, 0.001, 100],
        [5.592, 11.432, 0.4882, 0.01, 0.001, 0.001, 100],
        [5.593, 11.432, 0.4811, 0.01, 0.001, 0.001, 100],
        [5.595, 11.432, 0.474, 0.01, 0.001, 0.001, 100],
        [5.596, 11.432, 0.4671, 0.01, 0.001, 0.001, 100],
        [5.598, 11.432, 0.4602, 0.01, 0.001, 0.001, 100],
        [5.599, 11.432, 0.4533, 0.01, 0.001, 0.001, 100],
        [5.601, 11.432, 0.4464, 0.01, 0.001, 0.001, 100],
        [5.603, 11.432, 0.4396, 0.01, 0.001, 0.001, 100],
        [5.604, 11.432, 0.4327, 0.01, 0.001, 0.001, 100],
        [5.606, 11.432, 0.4258, 0.01, 0.001, 0.001, 100],
        [5.608, 11.432, 0.4189, 0.01, 0.001, 0.001, 100],
        [5.609, 11.432, 0.412, 0.01, 0.001, 0.001, 100],
        [5.608, 11.432, 0.4056, 0.01, 0.001, 0.001, 100],
        [5.606, 11.432, 0.3991, 0.01, 0.001, 0.001, 100],
        [5.604, 11.432, 0.3927, 0.01, 0.001, 0.001, 100],
        [5.603, 11.432, 0.3862, 0.01, 0.001, 0.001, 100],
        [5.601, 11.432, 0.3798, 0.01, 0.001, 0.001, 100],
        [5.599, 11.432, 0.3733, 0.01, 0.001, 0.001, 100],
        [5.598, 11.432, 0.3669, 0.01, 0.001, 0.001, 100],
        [5.596, 11.432, 0.3604, 0.01, 0.001, 0.001, 100],
        [5.595, 11.432, 0.354, 0.01, 0.001, 0.001, 100],
        [5.593, 11.432, 0.3522, 0.01, 0.001, 0.001, 100],
        [5.591, 11.432, 0.3504, 0.01, 0.001, 0.001, 100],
        [5.589, 11.432, 0.3487, 0.01, 0.001, 0.001, 100],
        [5.587, 11.432, 0.3469, 0.01, 0.001, 0.001, 100],
        [5.586, 11.432, 0.3451, 0.01, 0.001, 0.001, 100],
        [5.584, 11.432, 0.3433, 0.01, 0.001, 0.001, 100],
        [5.582, 11.432, 0.3416, 0.01, 0.001, 0.001, 100],
        [5.580, 11.432, 0.3398, 0.01, 0.001, 0.001, 100],
        [5.579, 11.432, 0.338, 0.01, 0.001, 0.001, 100],
        [5.575, 11.432, 0.3356, 0.01, 0.001, 0.001, 100],
        [5.572, 11.432, 0.3331, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.3307, 0.01, 0.001, 0.001, 100],
        [5.566, 11.432, 0.3282, 0.01, 0.001, 0.001, 100],
        [5.564, 11.432, 0.3258, 0.01, 0.001, 0.001, 100],
        [5.561, 11.432, 0.3233, 0.01, 0.001, 0.001, 100],
        [5.558, 11.432, 0.3209, 0.01, 0.001, 0.001, 100],
        [5.554, 11.432, 0.3184, 0.01, 0.001, 0.001, 100],
        [5.551, 11.432, 0.316, 0.01, 0.001, 0.001, 100],
        [5.549, 11.432, 0.3158, 0.01, 0.001, 0.001, 100],
        [5.547, 11.432, 0.3156, 0.01, 0.001, 0.001, 100],
        [5.545, 11.432, 0.3153, 0.01, 0.001, 0.001, 100],
        [5.543, 11.432, 0.3151, 0.01, 0.001, 0.001, 100],
        [5.541, 11.432, 0.3149, 0.01, 0.001, 0.001, 100],
        [5.539, 11.432, 0.3147, 0.01, 0.001, 0.001, 100],
        [5.537, 11.432, 0.3144, 0.01, 0.001, 0.001, 100],
        [5.535, 11.432, 0.3142, 0.01, 0.001, 0.001, 100],
        [5.532, 11.432, 0.314, 0.01, 0.001, 0.001, 100],
